Species_en,Essence_fr,Latin name
Balsam fir,Sapin baumier,Abies balsamea
Balsam poplar,Peuplier baumier,Populus balsamifera
Basswood,Tilleul d'Amérique,Tilia americana
American beech,Hêtre à grandes feuilles,Fagus grandifolia
Black ash,Frêne noir,Fraxinus nigra
Black cherry,Cerisier noir,Prunus serotina
Black spruce,Épinette noire,Picea mariana
Douglas fir,Douglas,Pseudotsuga menziesii
Eastern hemlock,Pruche du Canada,Tsuga canadensis
Eastern white cedar,Thuya occidental,Thuja occidentalis
Eastern white pine,Pin blanc,Pinus strobus
Engelmann spruce,Épinette d'Engelmann,Picea engelmannii
European larch,Mélèze d'Europe,Larix decidua
Grey birch,Bouleau gris,Betula populifolia
Hickory,Caryer,Carya
Hop-Hornbeam,Ostryer de Virginie,Ostrya virginiana
Hybrid larch,,
Jack pine,Pin gris,Pinus banksiana
Largetooth aspen,Peuplier à grandes dents,Populus grandidentata
Lodgepole pine,Pin tordu latifolié,Pinus contorta
Pacific silver fir ,Sapin gracieux,Abies amabilis
Black cottonwood,Peuplier de l'Ouest,Populus trichocarpa
Red alder,Aulne rouge,Alnus rubra
Red ash,Frêne rouge,Fraxinus pennsylvanica
Red Maple,Érable rouge,Acer rubrum
Red oak,Chêne rouge,Quercus rubra
Red pine,Pin rouge,Pinus resinosa
Red spruce,Épinette rouge,Picea rubens
Silver maple,Érable à grandes feuilles,Acer saccharinum
Sitka spruce ,Épinette de Sitka,Picea sitchensis
Subalpine fir,Sapin subalpin,Abies lasiocarpa
Sugar maple,Érable à sucre,Acer saccharum
Tamarack larch,Mélèze laricin,Larix laricina
Trembling aspen,Peuplier faux-tremble,Populus tremuloides
Western hemlock,Pruche de l'Ouest,Tsuga heterophylla
Western larch,Mélèze de l'Ouest,Larix occidentalis
Western red cedar,Thuya géant,Thuja plicata
White ash,Frêne blanc,Fraxinus americana
White birch,Bouleau blanc,Betula papyrifera
White elm,Orme blanc,Ulmus laevis
White oak,Chêne blanc,Quercus alba
White spruce,Épinette blanche,Picea glauca
Yellow birch,Bouleau jaune,Betula alleghaniensis
Norway spruce,Épinette de Norvège,Picea abies
Other,,
